monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
1 94H LID_101336 PID_10042 LID_101336_PID_10042 14.01 -1.885 15.895 M 23127829 11982435 10518332 13987051 17381896 21389482 0.8% 0.5% 0.463179 2018-09-06 DID_1001155 whole_blood 1998-01-16 2012-01-18 uw 0.518095970010847 2
2 52P LID_101343 PID_10042 LID_101343_PID_10042 11.24 -4.818 16.058 F 17198789 9506094 7255730 10717038 14644166 16088491 0.8% 0.5% 0.775294 2018-08-30 DID_1001167 whole_blood 2000-12-17 2012-03-14 uw 0.552718798980556 5
3 1E2 LID_101345 PID_10042 LID_101345_PID_10042 6.11 -3 9.11 F 14618165 8621886 5435670 8617387 11977322 12175925 1.0% 0.9% 0.807819 2018-09-14 DID_1001170 whole_blood 2006-10-17 2012-11-27 uw 0.589806312899054 2
4 2A5 LID_101347 PID_10042 LID_101347_PID_10042 7.2 -4.79 11.99 F 15953910 8526183 7048127 9906333 13504226 15081478 0.7% 0.5% 0.763748 2018-08-30 DID_1001172 whole_blood 2005-01-01 2012-03-13 uw 0.534425918160501 2
5 49V LID_101348 PID_10042 LID_101348_PID_10042 8.29 -3.375 11.665 F 20063045 10314294 9268231 12262688 15577219 18942266 0.7% 0.5% 0.785003 2018-09-06 DID_1001173 whole_blood 2003-11-15 2012-02-29 uw 0.514094146725983 2
6 53E LID_101349 PID_10042 LID_101349_PID_10042 15.93 -4.16 20.09 F 15535973 7970696 7129675 9237719 11283474 14371264 0.8% 0.6% 0.792076 2018-09-04 DID_1001174 whole_blood 1996-02-12 2012-01-19 uw 0.513047750533552 3
7 43N LID_101350 PID_10042 LID_101350_PID_10042 12.21 -2.395 14.605 M 19848511 10117115 9212145 11631730 17021065 18959253 0.6% 0.4% 0.452243 2018-09-06 DID_1001175 whole_blood 1999-11-11 2012-01-26 uw 0.509716572694042 2
8 4D8 LID_101353 PID_10042 LID_101353_PID_10042 6.32 -3.90666666666667 10.2266666666667 F 17180582 9903395 6797258 11819951 12840283 16085977 1.2% 0.9% 0.794886 2018-08-30 DID_1001179 whole_blood 2006-09-29 2013-01-23 uw 0.576429541211118 2
9 2F2 LID_101354 PID_10042 LID_101354_PID_10042 5.02 -4.01333333333333 9.03333333333333 F 20815006 11713464 8520240 13605429 13921859 19004216 0.9% 0.6% 0.793868 2018-08-30 DID_1001180 whole_blood 2007-11-19 2012-11-27 uw 0.562741322294118 2
10 0I5 LID_101355 PID_10042 LID_101355_PID_10042 4.19 -5.6 9.79 F 13634188 6987669 6248611 8324710 11591695 12922828 0.8% 0.5% 0.748848 2018-08-30 DID_1001182 whole_blood 2008-10-08 2012-12-18 uw 0.51251082939446 3
11 8D6 LID_101357 PID_10042 LID_101357_PID_10042 5.28 -4.16 9.44 M 11894858 6348380 5275476 7446362 8977205 10858411 0.8% 0.6% 0.46154 2018-08-30 DID_1001184 whole_blood 2006-10-19 2012-01-30 uw 0.533707926567934 3
12 2C9 LID_101360 PID_10042 LID_101360_PID_10042 6.25 -6.5725 12.8225 M 17212320 9555931 7246712 11107006 11457191 15972343 0.9% 0.6% 0.472546 2018-08-30 DID_1001188 whole_blood 2005-10-25 2012-01-26 uw 0.555179720107458 4
13 50P LID_101361 PID_10042 LID_101361_PID_10042 11.73 -1.28666666666667 13.0166666666667 M 13264009 7281131 5653169 8120005 10853756 12180961 0.8% 0.6% 0.455738 2018-08-30 DID_1001189 whole_blood 2001-03-20 2012-12-12 uw 0.548938936938297 2
14 8C0 LID_101363 PID_10042 LID_101363_PID_10042 5.3 -6.59 11.89 M 16249802 8718000 7148047 10584060 10935221 14997744 0.9% 0.6% 0.466654 2018-08-30 DID_1001191 whole_blood 2006-10-12 2012-01-30 uw 0.536498844724385 4
15 T84 LID_101364 PID_10042 LID_101364_PID_10042 23.9 0.994999999999997 22.905 F 16704105 9633935 6660859 10172248 11524359 14537641 0.9% 0.6% 0.835674 2018-08-31 DID_1001192 whole_blood 1990-02-20 2014-01-14 uw 0.576740567662859 2
16 51V LID_101366 PID_10042 LID_101366_PID_10042 9.12 -2.99 12.11 F 17672771 9161543 8052590 10533498 13747905 16138593 0.8% 0.5% 0.764863 2018-08-30 DID_1001194 whole_blood 2003-10-29 2012-12-10 uw 0.51839878420877 2
17 12Z LID_101367 PID_10042 LID_101367_PID_10042 8.28 -6.5125 14.7925 M 11495671 6442339 4773504 7145133 9498253 10500137 0.8% 0.5% 0.465514 2018-08-30 DID_1001195 whole_blood 2003-12-03 2012-03-13 uw 0.560414350758646 4
18 31S LID_101368 PID_10042 LID_101368_PID_10042 10.17 -3.55 13.72 M 9352762 5084352 4060372 5894304 7041119 8731101 0.8% 0.5% 0.457962 2018-09-04 DID_1001196 whole_blood 2001-12-05 2012-02-07 uw 0.543620376526207 3
19 0G9 LID_101370 PID_10042 LID_101370_PID_10042 4.09 -3.63 7.72 M 14143741 8177133 5541716 7347087 9353245 10436784 0.8% 0.7% 0.482895 2018-08-30 DID_1001198 whole_blood 2008-11-09 2012-12-11 uw 0.578144990070166 3
20 96Z LID_101375 PID_10042 LID_101375_PID_10042 8.02 -4.445 12.465 M 21295770 11819080 8899392 13860216 20253274 20293318 0.9% 0.7% 0.450202 2018-09-14 DID_1001203 whole_blood 2004-11-20 2012-11-28 uw 0.554996602611692 2
21 19A LID_101377 PID_10042 LID_101377_PID_10042 21.88 1.5 20.38 F 18720667 10514492 7775179 11326308 11265048 16263386 0.9% 0.6% 0.85962 2018-09-04 DID_1001205 whole_blood 1992-03-01 2014-01-15 uw 0.561651569359147 2
22 6D6 LID_101379 PID_10042 LID_101379_PID_10042 6.13 -3.01 9.14 F 7886413 4398298 3287873 4996269 5994957 7225499 0.8% 0.6% 0.799937 2018-08-30 DID_1001207 whole_blood 2006-10-26 2012-12-12 uw 0.557705765599646 2
23 2A2 LID_101385 PID_10042 LID_101385_PID_10042 7.18 -5.85666666666667 13.0366666666667 F 14667633 8121134 6087967 9565692 13230706 13865959 1.0% 0.8% 0.759016 2018-09-14 DID_1001214 whole_blood 2004-11-28 2012-02-02 uw 0.553677202040711 3
